"","Qst","Fst","Qst_Fst","Qst_Fst_abs","cwd_Diff","ppt_mm_Diff","pck_Diff","snw_Diff","tmin_Diff","tmax_Diff","latitude_Diff","longitude_Diff","PC1_Diff","PC2_Diff"
"Qst",NA,0.209450319677155,8.60572903608088e-05,0.00010203591417424,0.763123238528414,0.897716080627219,0.415809277671145,0.418012275347245,0.395699528669878,0.63228652735875,0.85777707099116,0.617253040401681,0.543827582190417,0.353165565424517
"Fst",0.209450319677155,NA,1.44145627315897e-19,1.60911218666795e-19,1.99846820598992e-05,6.67385624340457e-06,5.74965672064397e-05,9.809872424684e-06,1.67594819679347e-05,0.000838339720305186,2.47046072547015e-05,0.000477249990824896,3.71516091614817e-06,0.0113653976141073
"Qst_Fst",8.60572903608088e-05,1.44145627315897e-19,NA,3.00833261711508e-52,0.000256697411862947,0.000288199463148475,0.000202974525839293,5.45526331883118e-05,7.45707908883623e-05,0.00270284780377622,0.000710258563267073,0.00172115106098911,4.26671650585004e-05,0.0116083585910385
"Qst_Fst_abs",0.00010203591417424,1.60911218666795e-19,3.00833261711508e-52,NA,0.000260821510115344,0.000251427986846119,0.000158534857670559,4.27481822327728e-05,7.2577192004043e-05,0.00247198892620515,0.000746435879374021,0.00182254678797393,3.61575588692459e-05,0.0127464788413216
"cwd_Diff",0.763123238528414,1.99846820598992e-05,0.000256697411862947,0.000260821510115344,NA,4.87665941923829e-08,1.43637629566077e-07,6.76238926577658e-10,2.81507410895139e-12,3.80467612924712e-09,0.0670436994561917,0.864595944767389,2.31078182350073e-14,0.0113581031779222
"ppt_mm_Diff",0.897716080627219,6.67385624340457e-06,0.000288199463148475,0.000251427986846119,4.87665941923829e-08,NA,3.42745897027944e-24,7.77126103226438e-20,6.12245470125369e-05,0.000634497411721267,0.000234889744950548,0.101185093836145,6.35194939313534e-17,0.000109976205429513
"pck_Diff",0.415809277671145,5.74965672064397e-05,0.000202974525839293,0.000158534857670559,1.43637629566077e-07,3.42745897027944e-24,NA,2.18222034098506e-31,3.53396275449424e-06,4.12761699297701e-05,0.00637596499611781,0.240285538116578,1.00392465623896e-20,4.05291247178315e-05
"snw_Diff",0.418012275347245,9.809872424684e-06,5.45526331883118e-05,4.27481822327728e-05,6.76238926577658e-10,7.77126103226438e-20,2.18222034098506e-31,NA,5.73169891016878e-10,2.53314079565765e-08,0.0112734107797894,0.318692664867146,1.12785372706119e-32,6.76246560951265e-05
"tmin_Diff",0.395699528669878,1.67594819679347e-05,7.45707908883623e-05,7.2577192004043e-05,2.81507410895139e-12,6.12245470125369e-05,3.53396275449424e-06,5.73169891016878e-10,NA,6.2695920928722e-24,0.269772168018716,0.840966923433417,1.44837580728934e-13,0.0114841842231536
"tmax_Diff",0.63228652735875,0.000838339720305186,0.00270284780377622,0.00247198892620515,3.80467612924712e-09,0.000634497411721267,4.12761699297701e-05,2.53314079565765e-08,6.2695920928722e-24,NA,0.430033381863783,0.813458912935522,5.4845213718896e-11,0.0718930393969401
"latitude_Diff",0.85777707099116,2.47046072547015e-05,0.000710258563267073,0.000746435879374021,0.0670436994561917,0.000234889744950548,0.00637596499611781,0.0112734107797894,0.269772168018716,0.430033381863783,NA,4.63076431828025e-14,0.0164983836881131,0.00973253375400495
"longitude_Diff",0.617253040401681,0.000477249990824896,0.00172115106098911,0.00182254678797393,0.864595944767389,0.101185093836145,0.240285538116578,0.318692664867146,0.840966923433417,0.813458912935522,4.63076431828025e-14,NA,0.446288082581978,0.000530928849695799
"PC1_Diff",0.543827582190417,3.71516091614817e-06,4.26671650585004e-05,3.61575588692459e-05,2.31078182350073e-14,6.35194939313534e-17,1.00392465623896e-20,1.12785372706119e-32,1.44837580728934e-13,5.4845213718896e-11,0.0164983836881131,0.446288082581978,NA,0.000207686930480639
"PC2_Diff",0.353165565424517,0.0113653976141073,0.0116083585910385,0.0127464788413216,0.0113581031779222,0.000109976205429513,4.05291247178315e-05,6.76246560951265e-05,0.0114841842231536,0.0718930393969401,0.00973253375400495,0.000530928849695799,0.000207686930480639,NA
