"","Variable","NMDS1","NMDS2","NMDS3","NMDS4","NMDS5"
"X3MSO","X3MSO",0.664380724047113,-0.221873769033644,-0.25667072130348,-0.157042089306007,-0.0999947473448861
"OHAlkenyl","OHAlkenyl",-0.106361359267793,0.474164733056315,0.237293228788691,-0.11018842629142,0.254989466414612
"X4MSO","X4MSO",-0.665480963683188,0.0384295492895207,0.0251840401920984,-0.189256483895056,-0.448109829534204
"Allyl","Allyl",0.523227765322897,0.127250702760256,-0.617679096191285,0.0601977826660538,0.00758607899028387
"X5MSO","X5MSO",-0.197603636712588,0.428460254987426,-0.662179958736561,0.111124688554374,0.149318784953084
"Butenyl","Butenyl",-0.863557472639686,-0.0609855266894315,0.0815152693788541,-0.0380357400343577,0.151576689171932
"X3MT","X3MT",0.524569817924168,-0.482187816507072,0.132640632550549,-0.282241653881607,0.0362732019563009
"MSOO","MSOO",-0.578129224050281,0.0162107774084751,-0.188374864728944,-0.128414902400447,-0.30999165299514
"OHI3M","OHI3M",-0.0938607101948038,-0.390387003656271,-0.157148732468773,-0.395541230567187,0.054183909919455
"X4MT","X4MT",-0.363969443971014,-0.200922649474277,0.106144149650085,-0.285443457717116,-0.371735524001422
"Flavonol16","Flavonol16",-0.51530125975167,-0.234522416879045,-0.236521144667919,-0.0962073951518817,0.250548771671535
"I3M","I3M",-0.056545508093602,0.337404058513097,-0.383988079348044,-0.180264296701493,-0.480305911489068
"Flavonol17","Flavonol17",-0.411796125969835,-0.565822747567459,-0.367902918792971,0.0124199477650325,0.21493718500066
"Flavonol18","Flavonol18",-0.149826617386054,-0.637220781068423,-0.272231577154292,0.327201821981774,-0.0657609987915755
"Indole","Indole",0.000319502540401011,-0.111139173479849,0.32955530844191,0.765267251256528,-0.235878809787467
